time/s,control/V/mA,Ecell/V,<I>/mA,Q discharge/mA.h,Q charge/mA.h,control/V,control/mA,cycle number
2596.4641233254224,1750.0,3.792562,1750.980532010296,0.0,1262.7413499776198,0.0,1750.0,1.0
2626.4641247503387,1750.0,3.7956724000000004,1750.973811193558,0.0,1277.332799097289,0.0,1750.0,1.0
2656.4641261752695,1750.0,3.7989404,1750.975858686951,0.0,1291.924265279405,0.0,1750.0,1.0
2686.464127600193,1750.0,3.8023657999999996,1750.959435437405,0.0,1306.5155946011,0.0,1750.0,1.0
2716.4641290251166,1750.0,3.8055551,1750.9728130246601,0.0,1321.107035402696,0.0,1750.0,1.0
2746.46413045004,1750.0,3.8090593999999998,1750.984798969729,0.0,1335.698576087171,0.0,1750.0,1.0
2776.4641318749636,1750.0,3.8125633999999997,1750.9766983760378,0.0,1350.290049266696,0.0,1750.0,1.0
2806.464133299887,1750.0,3.816186,1750.977512495466,0.0,1364.881529230549,0.0,1750.0,1.0
2836.464134724818,1750.0,3.8198082,1750.982448693148,0.0,1379.4730503293852,0.0,1750.0,1.0
2866.4641361497343,1750.0,3.8235092000000006,1750.9694915974092,0.0,1394.0644634524192,0.0,1750.0,1.0
2896.464137574665,1750.0,3.8271711,1750.993292214768,0.0,1408.656074913939,0.0,1750.0,1.0
2926.4641389995813,1750.0,3.8310690000000003,1750.9925845325101,0.0,1423.247680478108,0.0,1750.0,1.0
2956.464140424505,1750.0,3.8349276,1751.0064210146,0.0,1437.8394013462992,0.0,1750.0,1.0
2986.4641418494357,1750.0,3.8390224,1751.006328851519,0.0,1452.431121446464,0.0,1750.0,1.0
3016.464143274352,1750.0,3.8428809999999998,1750.9871361685111,0.0,1467.022681607597,0.0,1750.0,1.0
3046.464144699268,1750.0,3.8470150999999997,1751.006027142549,0.0,1481.6143991935212,0.0,1750.0,1.0
3076.464146124199,1750.0,3.8513068999999995,1751.008836631348,0.0,1496.2061401918531,0.0,1750.0,1.0
3106.4641475491226,1750.0,3.8555197999999997,1751.003074188588,0.0,1510.7978331698262,0.0,1750.0,1.0
3136.464148974039,1750.0,3.8598114999999997,1750.990286567125,0.0,1525.389419584282,0.0,1750.0,1.0
3166.4641503989697,1750.0,3.8641424,1750.9973353542248,0.0,1539.9810647386332,0.0,1750.0,1.0
3196.464151823886,1750.0,3.8687885000000004,1750.9907599476362,0.0,1554.572655097927,0.0,1750.0,1.0
3226.4641532488167,1750.0,3.8731589,1750.994933287282,0.0,1569.1642802350518,0.0,1750.0,1.0
3256.4641546737403,1750.0,3.8776870000000003,1751.016306390108,0.0,1583.756083481377,0.0,1750.0,1.0
3286.464156098664,1750.0,3.8822541,1751.0138380471258,0.0,1598.347866158175,0.0,1750.0,1.0
3316.4641575235873,1750.0,3.8868608,1750.990851630574,0.0,1612.9394572814929,0.0,1750.0,1.0
3346.464158948518,1750.0,3.8915462,1750.989853030361,0.0,1627.531040083142,0.0,1750.0,1.0
3376.4641603734344,1750.0,3.8962317000000004,1750.97198728414,0.0,1642.122474003566,0.0,1750.0,1.0
3406.4641617983652,1750.0,3.9009565999999998,1750.978852379842,0.0,1656.7139651331229,0.0,1750.0,1.0
3436.4641632232815,1750.0,3.9056025,1750.989209508257,0.0,1671.305542572088,0.0,1750.0,1.0
3466.2241646368057,1750.0,3.910603,1750.988280611239,0.0,1685.780379712659,0.0,1750.0,1.0
3496.2241660617365,1750.0,3.9150127999999995,1750.9918227812439,0.0,1700.3719789289,0.0,1750.0,1.0
